source_path,file_name,extension,cloud_only,length,last_write_time,top_folder,rule_excluded,rule_reason,absolute_path
01_IT/統合/受入テスト/フェーズ2_5受入テスト/20230123Redmine課題一覧.xlsx,20230123Redmine課題一覧.xlsx,xlsx,False,1460953,2023-01-23 14:21:02,受入テスト,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\受入テスト\フェーズ2_5受入テスト\20230123Redmine課題一覧.xlsx
01_IT/統合/デジコム/請求書/【日本デジコム】請求書202301_IF026599.pdf,【日本デジコム】請求書202301_IF026599.pdf,pdf,False,97354,2023-01-24 13:44:22,デジコム,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\デジコム\請求書\【日本デジコム】請求書202301_IF026599.pdf
01_IT/統合/ツルハPAY/20230124/20230123_各事業会社との日程 (1).xlsx,20230123_各事業会社との日程 (1).xlsx,xlsx,False,23789,2023-01-24 18:00:48,ツルハPAY,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\ツルハPAY\20230124\20230123_各事業会社との日程 (1).xlsx
01_IT/統合/ツルハPAY/20230124/ハウスPayプロジェクトメンバー選出について20230110.pptx,ハウスPayプロジェクトメンバー選出について20230110.pptx,pptx,False,3152935,2023-01-24 18:00:51,ツルハPAY,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\ツルハPAY\20230124\ハウスPayプロジェクトメンバー選出について20230110.pptx
01_IT/統合/デジコム/請求書/【日本デジコム】請求書202301_2_IF026608.pdf,【日本デジコム】請求書202301_2_IF026608.pdf,pdf,False,98474,2023-01-24 19:09:13,デジコム,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\デジコム\請求書\【日本デジコム】請求書202301_2_IF026608.pdf
01_IT/統合/ツルハPAY/20230120_杏林堂様でのハウスPay実現に関する資料.pdf,20230120_杏林堂様でのハウスPay実現に関する資料.pdf,pdf,False,791357,2023-01-26 13:00:02,ツルハPAY,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\ツルハPAY\20230120_杏林堂様でのハウスPay実現に関する資料.pdf
01_IT/統合/ツルハPAY/JCB/【杏林堂薬局様】ＪＣＢ経済条件について20211112.pdf,【杏林堂薬局様】ＪＣＢ経済条件について20211112.pdf,pdf,False,125725,2023-01-26 14:39:22,ツルハPAY,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\ツルハPAY\JCB\【杏林堂薬局様】ＪＣＢ経済条件について20211112.pdf
01_IT/統合/HBAヘルプデスク/杏林堂薬局様　HBA社設置機器一覧.xlsx,杏林堂薬局様　HBA社設置機器一覧.xlsx,xlsx,False,11380,2023-02-01 11:15:55,HBAヘルプデスク,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\HBAヘルプデスク\杏林堂薬局様　HBA社設置機器一覧.xlsx
01_IT/統合/ツルハPAY/JCB/20230201_インコム　杏林堂様d払い手数料調整に関するご報告.pdf,20230201_インコム　杏林堂様d払い手数料調整に関するご報告.pdf,pdf,False,332221,2023-02-03 16:32:06,ツルハPAY,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\ツルハPAY\JCB\20230201_インコム　杏林堂様d払い手数料調整に関するご報告.pdf
01_IT/統合/ツルハPAY/JCB/ツルハ　クレジット等料率確認.xlsx,ツルハ　クレジット等料率確認.xlsx,xlsx,False,12556,2023-02-09 14:55:04,ツルハPAY,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\ツルハPAY\JCB\ツルハ　クレジット等料率確認.xlsx
01_IT/統合/ツルハPAY/JCB/杏林堂クレジット等料率確認 (2).xlsx,杏林堂クレジット等料率確認 (2).xlsx,xlsx,False,14018,2023-02-11 13:08:34,ツルハPAY,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\ツルハPAY\JCB\杏林堂クレジット等料率確認 (2).xlsx
01_IT/統合/★説明/230216-システム統合説明会（店長向け）.pptx,230216-システム統合説明会（店長向け）.pptx,pptx,False,371587,2023-02-16 14:58:33,★説明,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\★説明\230216-システム統合説明会（店長向け）.pptx
01_IT/統合/★説明/システム統合説明会（CS推進部）.pptx,システム統合説明会（CS推進部）.pptx,pptx,False,5030614,2023-02-16 19:20:05,★説明,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\★説明\システム統合説明会（CS推進部）.pptx
01_IT/統合/デジコム/見積/注文書_杏林堂様向け企画商品システム構築Ph1_E13591.pdf,注文書_杏林堂様向け企画商品システム構築Ph1_E13591.pdf,pdf,False,98911,2023-02-21 17:10:40,デジコム,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\デジコム\見積\注文書_杏林堂様向け企画商品システム構築Ph1_E13591.pdf
01_IT/統合/デジコム/見積/見積書_杏林堂様向け企画商品システム構築Ph1_E13591.pdf,見積書_杏林堂様向け企画商品システム構築Ph1_E13591.pdf,pdf,False,736669,2023-02-21 17:10:40,デジコム,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\デジコム\見積\見積書_杏林堂様向け企画商品システム構築Ph1_E13591.pdf
01_IT/統合/★説明/システム統合説明会（情報システム）.pptx,システム統合説明会（情報システム）.pptx,pptx,False,2329838,2023-02-21 17:10:50,★説明,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\★説明\システム統合説明会（情報システム）.pptx
01_IT/統合/店舗マスタ/今後の採番ルールについて（追加）.xlsx,今後の採番ルールについて（追加）.xlsx,xlsx,False,2297039,2023-02-27 15:01:45,店舗マスタ,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\店舗マスタ\今後の採番ルールについて（追加）.xlsx
01_IT/統合/★説明/01-当日のアジェンダ兼質疑応答メモ.pptx,01-当日のアジェンダ兼質疑応答メモ.pptx,pptx,False,121967,2023-03-13 11:31:39,★説明,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\★説明\01-当日のアジェンダ兼質疑応答メモ.pptx
01_IT/統合/★判定/20230315/Ph2.5パイロットに向けて_20230315.pptx,Ph2.5パイロットに向けて_20230315.pptx,pptx,False,159159,2023-03-15 12:31:54,★判定,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\★判定\20230315\Ph2.5パイロットに向けて_20230315.pptx
01_IT/統合/受入テスト/フェーズ2_5受入テスト/杏林堂様システム統合受入テスト朝会議事メモ_20230317.txt,杏林堂様システム統合受入テスト朝会議事メモ_20230317.txt,txt,False,2666,2023-03-17 19:00:11,受入テスト,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\受入テスト\フェーズ2_5受入テスト\杏林堂様システム統合受入テスト朝会議事メモ_20230317.txt
