source_path,file_name,extension,cloud_only,length,last_write_time,top_folder,rule_excluded,rule_reason,absolute_path
01_IT/統合/★概要・スケジュール/杏林堂影響調査.pptx,杏林堂影響調査.pptx,pptx,False,262369,2023-06-09 15:20:26,★概要・スケジュール,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\★概要・スケジュール\杏林堂影響調査.pptx
01_IT/統合/※報告/凍結対象一覧_.xlsx,凍結対象一覧_.xlsx,xlsx,False,58517,2023-06-19 19:48:17,※報告,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\※報告\凍結対象一覧_.xlsx
01_IT/統合/※報告/20230614_基幹分科会議事録 (1).xlsx,20230614_基幹分科会議事録 (1).xlsx,xlsx,False,643879,2023-06-19 19:48:20,※報告,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\※報告\20230614_基幹分科会議事録 (1).xlsx
01_IT/統合/★実績/【23年6月度】【単月】POS実績（ポイント値引き済）.xlsx,【23年6月度】【単月】POS実績（ポイント値引き済）.xlsx,xlsx,False,12475171,2023-06-21 08:03:00,★実績,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\★実績\【23年6月度】【単月】POS実績（ポイント値引き済）.xlsx
01_IT/統合/★課題確認/問題のリスト化（0622社内MT）.xlsx,問題のリスト化（0622社内MT）.xlsx,xlsx,False,35683,2023-06-28 10:19:28,★課題確認,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\★課題確認\問題のリスト化（0622社内MT）.xlsx
01_IT/統合/全体_ジョブ＆データ連携スケジュール.xlsx,全体_ジョブ＆データ連携スケジュール.xlsx,xlsx,False,117231,2023-08-02 08:54:42,全体_ジョブ＆データ連携スケジュール.xlsx,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\全体_ジョブ＆データ連携スケジュール.xlsx
01_IT/統合/ツルハHD_システム概要＆データ連携図.pdf,ツルハHD_システム概要＆データ連携図.pdf,pdf,False,1356372,2023-10-27 17:04:52,ツルハHD_システム概要＆データ連携図.pdf,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\ツルハHD_システム概要＆データ連携図.pdf
01_IT/統合/ツルハHD_ネットワーク概要図.pdf,ツルハHD_ネットワーク概要図.pdf,pdf,False,2919172,2023-10-27 17:04:57,ツルハHD_ネットワーク概要図.pdf,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\ツルハHD_ネットワーク概要図.pdf
01_IT/統合/MD周り_全体概況図.pdf,MD周り_全体概況図.pdf,pdf,False,86330,2023-10-27 17:05:00,MD周り_全体概況図.pdf,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\MD周り_全体概況図.pdf
01_IT/統合/テナント/【まとめ】新規事業合計（2023年5月期9月度） (1) (2).xlsx,【まとめ】新規事業合計（2023年5月期9月度） (1) (2).xlsx,xlsx,False,4446384,2023-11-01 20:16:50,テナント,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\テナント\【まとめ】新規事業合計（2023年5月期9月度） (1) (2).xlsx
01_IT/統合/★新MD/新MD検証環境.txt,新MD検証環境.txt,txt,False,2205,2023-11-02 08:25:39,★新MD,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\★新MD\新MD検証環境.txt
01_IT/統合/電子帳簿保存法/電子帳簿231120.pdf,電子帳簿231120.pdf,pdf,False,1978764,2023-11-20 14:19:10,電子帳簿保存法,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\電子帳簿保存法\電子帳簿231120.pdf
01_IT/統合/電子帳簿保存法/電子帳簿説明会用資料_Draft.pdf,電子帳簿説明会用資料_Draft.pdf,pdf,False,1610584,2023-11-20 14:19:10,電子帳簿保存法,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\電子帳簿保存法\電子帳簿説明会用資料_Draft.pdf
01_IT/統合/ツルハPAY/incomm/杏林堂　加盟店WEB.xlsx,杏林堂　加盟店WEB.xlsx,xlsx,False,19193,2023-11-30 13:12:32,ツルハPAY,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\ツルハPAY\incomm\杏林堂　加盟店WEB.xlsx
01_IT/統合/労務/事業会社説明資料202310.pdf,事業会社説明資料202310.pdf,pdf,False,800096,2023-12-04 13:28:34,労務,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\労務\事業会社説明資料202310.pdf
01_IT/統合/★新MD/継続利用システム_リリース計画.xlsx,継続利用システム_リリース計画.xlsx,xlsx,False,667452,2024-06-12 10:06:14,★新MD,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\★新MD\継続利用システム_リリース計画.xlsx
01_IT/統合/★新MD/継続利用システム変更周知FAQ.xlsx,継続利用システム変更周知FAQ.xlsx,xlsx,False,11118,2024-06-12 10:06:45,★新MD,False,,C:\Users\takatoshi-saito\OneDrive\00personal\01_IT\統合\★新MD\継続利用システム変更周知FAQ.xlsx
